"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","bathymetry","resolution","tight","nBox","nTight","line_id","line_name","alt_station_id"
"33WA20111211","WS1118","Niskin","690103","69",1,3,2011,12,15,"3:44:00",349.1556,24.9299,-81.0964,-999,1.5,"-999",22.38,23.37,23.37,33.96,33.997,-999,9,-999,-999,2268,2,2550.7,2,-999,-999,9,-999,-999,-999,-999,9,-81.0964,24.9299,3.79370331764221,994,"yes","yes","yes","EC","East Cape",NA
"33WA20111211","WS1118","Flow-through","710000","71",0,0,2011,12,15,"4:38:00",349.1931,24.9303,-80.9945,-999,1.5,"-999",22.27,23.25,23.26,33.818,33.889,-999,9,-999,-999,2272,2,2609.3,2,-999,-999,9,-999,-999,-999,-999,9,-80.9945,24.9303,3.45139908790588,483,"yes","yes","yes",NA,NA,NA
"33WA20111211","WS1118","Flow-through","530000","53",0,0,2011,12,15,"16:00:00",349.6667,24.9525,-80.4723,-999,1.5,"-999",24.23,25.22,25.24,35.973,35.972,-999,9,-999,-999,2028.4,2,2351.8,2,-999,-999,9,-999,-999,-999,-999,9,-80.4723,24.9525,5.84249496459961,215,"yes","no","no","BR","Broad River",NA
"33WA20141201","WS1418","Niskin","540101","54",1,1,2014,12,3,"14:46:00",337.6153,25.3451,-81.1521,-999,1.5,"1.5",20.77,21.02,20.6,31.082,31.159,-999,9,-999,222.6,2596.7,2,2853.1,2,7.9169,7.8432,2,31.8,0.4,-999,0,2,-81.1521,25.3451,2.5547730922699,795,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","550101","55",1,1,2014,12,3,"15:47:00",337.6576,25.35,-81.1936,-999,1.5,"1.5",20.65,20.97,20.63,33.619,33.597,-999,9,-999,-999,2320,2,2602,2,7.8939,7.8205,2,26.6,0.2,-999,0,2,-81.1936,25.35,2.37362217903137,1572,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","560101","56",1,1,2014,12,3,"16:22:00",337.6819,25.3498,-81.2289,-999,1.5,"1.5",20.99,21.31,20.75,34.253,34.279,-999,9,-999,-999,2252.1,2,2542.1,2,7.847,7.7743,2,24.8,0.09,-999,0,2,-81.2289,25.3498,3.02198529243469,2337,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","570102","57",1,2,2014,12,3,"17:00:00",337.7083,25.3522,-81.2656,-999,1.5,"1.5",21.03,21.34,20.71,35.141,35.111,-999,9,-999,239.9,2166.6,2,2428.9,2,7.7336,7.6631,2,19.3,0.1,-999,0,2,-81.2656,25.3522,3.75466084480286,2255,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","5710103","57.1",1,3,2014,12,3,"17:49:00",337.7424,25.3517,-81.336,-999,1.5,"1.5",20.93,21.24,20.88,35.093,35.068,-999,9,-999,-999,2139.9,2,2389.2,2,8.2698,8.1928,2,6.8,0.1,-999,0,2,-81.336,25.3517,5.5090446472168,2278,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","5720103","57.2",1,3,2014,12,3,"19:06:00",337.7958,25.3529,-81.4904,-999,1.5,"1.5",21.17,21.47,20.94,35.306,35.299,-999,9,-999,-999,2090.5,2,2335.2,2,8.4259,8.3478,2,7,0.2,-999,0,2,-81.4904,25.3529,8.3666181564331,2945,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","5730102","57.3",1,2,2014,12,3,"20:21:00",337.8479,25.3519,-81.6531,-999,1.5,"1.5",21.31,21.62,21.22,35.918,35.905,-999,9,-999,-999,2083.8,2,2353.3,2,8.556,8.4767,2,1,0.3,-999,0,2,-81.6531,25.3519,11.2790632247925,4575,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","570201","57",2,1,2014,12,4,"14:26:00",338.6014,25.3506,-81.2634,-999,1.5,"1.5",20.85,21.17,20.84,34.754,34.693,-999,9,-999,234.6,2222.5,2,2461.1,2,8.0664,7.991,2,16.4,0.3,-999,0,2,-81.2634,25.3506,3.75466084480286,2255,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","560201","56",2,1,2014,12,4,"15:05:00",338.6285,25.349,-81.2248,-999,1.5,"1.5",20.88,21.19,20.85,33.952,33.945,-999,9,-999,-999,2296.2,2,2572.1,2,7.8508,7.7781,2,18.1,0.3,-999,0,2,-81.2248,25.349,2.87843060493469,1993,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","550201","55",2,1,2014,12,4,"15:25:00",338.6424,25.3488,-81.1974,-999,1.5,"1.5",20.86,21.16,20.81,33.165,33.073,-999,9,-999,-999,2385,2,2656.7,2,7.8537,7.781,2,18.9,0.5,-999,0,2,-81.1974,25.3488,2.37362217903137,1572,"no","yes","no","SR","Shark River",NA
"33WA20141201","WS1418","Niskin","540201","54",2,1,2014,12,4,"16:07:00",338.6715,25.3425,-81.1535,-999,1.5,"1.5",21.3,21.62,21.25,31.017,31.083,-999,9,-999,224.7,2620.8,2,2834.4,2,7.8991,7.8256,2,21.1,0.4,-999,0,2,-81.1535,25.3425,2.46039080619812,811,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","540101","54",1,1,2015,9,23,"16:20:00",266.6806,25.3451,-81.1518,-999,1.5,"1.5",29.56,29.78,29.58,34.175,34.6,-999,9,-999,-999,2475.1,2,2716.4,2,7.9516,7.8773,2,15.4,0.2,-999,0,2,-81.1518,25.3451,2.5547730922699,795,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","550101","55",1,1,2015,9,23,"17:10:00",266.7153,25.3499,-81.1995,-999,1.5,"1.5",29.48,29.74,29.441,36.318,36.617,-999,9,-999,-999,2033.9,2,2341.4,2,8.1137,8.038,2,7.7,0.05,-999,0,2,-81.1995,25.3499,2.37362217903137,1572,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","560101","56",1,1,2015,9,23,"17:45:00",266.7396,25.3499,-81.2291,-999,1.5,"1.5",29.37,29.62,29.37,37.209,37.22,-999,9,-999,-999,1954.1,2,2254.9,2,8.134,8.0582,2,17.8,0.04,-999,0.01,2,-81.2291,25.3499,3.02198529243469,2337,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","570101","57",1,1,2015,9,23,"18:25:00",266.7674,25.3517,-81.2665,-999,1.5,"1.5",29.47,29.72,29.466,37.52,37.517,-999,9,-999,-999,1954.1,2,2248,2,8.1252,8.0495,2,19.8,0.05,-999,0.01,2,-81.2665,25.3517,3.75466084480286,2255,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","5710101","57.1",1,1,2015,9,23,"19:15:00",266.8021,25.3519,-81.3364,-999,1.5,"1.5",29.57,29.81,29.573,37.409,37.419,-999,9,-999,-999,1914.3,2,2192.9,2,8.0968,8.0214,2,17.9,0.08,-999,0,2,-81.3364,25.3519,5.5090446472168,2278,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","5720101","57.2",1,1,2015,9,23,"20:37:00",266.859,25.3529,-81.4952,-999,1.5,"1.5",29.71,29.97,29.707,35.996,36.007,-999,9,-999,-999,1903.5,2,2148.4,2,8.0662,7.9911,2,8.2,0.3,-999,0.02,2,-81.4952,25.3529,8.3666181564331,2945,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","5730101","57.3",1,1,2015,9,23,"21:54:00",266.9125,25.3512,-81.6543,-999,1.5,"1.5",30.15,30.41,30.135,36.149,36.164,-999,9,-999,-999,1973.3,2,2262.6,2,8.1249,8.0492,2,5.4,0.1,-999,0.08,2,-81.6543,25.3512,11.2790632247925,4575,"no","yes","no","SR","Shark River",NA
"33WA20150921","WS15264","Niskin","5490101","54b",1,1,2015,9,24,"11:10:00",267.4653,25.3379,-81.1563,-999,1.5,"1.5",29.29,29.52,29.41,34.462,35.297,-999,9,-999,-999,2477.3,2,2665.6,2,7.8802,7.8069,2,13.2,0.8,-999,0.01,2,-81.1563,25.3379,2.55857872962952,790,"no","yes","no",NA,NA,NA
"33WA20150921","WS15264","Flow-through","SR10000","SR1",0,0,2015,9,24,"11:33:00",267.4813,25.322,-81.1688,-999,1.5,"1.5",29.11,29.35,-999,35.497,-999,-999,9,-999,-999,2324.9,2,2512.8,2,7.8565,7.7836,2,-999,-999,-999,-999,2,-81.1688,25.322,2.5925829410553,618,"no","yes","no",NA,NA,NA
"33WA20150921","WS15264","Niskin","5590101","55b",1,1,2015,9,24,"12:00:00",267.5,25.3515,-81.1962,-999,1.5,"1.5",29.03,29.25,29.039,35.816,36.057,-999,9,-999,-999,2192.7,2,2468.9,2,8.042,7.9668,2,6.2,0.2,-999,0,2,-81.1962,25.3515,2.37362217903137,1572,"no","yes","no",NA,NA,NA
"33WA20150921","WS15264","Niskin","5690101","56b",1,1,2015,9,24,"12:30:00",267.5208,25.35,-81.2285,-999,1.5,"1.5",29.2,29.43,29.191,37.3,37.316,-999,9,-999,-999,1964.4,2,2250.9,2,8.0969,8.0215,2,23.2,0.03,-999,0.02,2,-81.2285,25.35,3.02198529243469,2337,"no","yes","no",NA,NA,NA
"33WA20150921","WS15264","Niskin","5790101","57b",1,1,2015,9,24,"13:00:00",267.5417,25.3516,-81.2659,-999,1.5,"1.5",29.21,29.45,29.215,37.594,37.611,-999,9,-999,-999,1954.5,2,2240.1,2,8.082,8.0067,2,13,0.05,-999,0.03,2,-81.2659,25.3516,3.75466084480286,2255,"no","yes","no",NA,NA,NA
"33WA20150921","WS15264","Niskin","57190101","57.1b",1,1,2015,9,24,"13:45:00",267.5729,25.3515,-81.3363,-999,1.5,"1.5",29.45,29.68,29.459,37.014,36.999,-999,9,-999,-999,1893.3,2,2122.2,2,8.028,7.9532,2,10.2,0.2,-999,0.04,2,-81.3363,25.3515,5.5090446472168,2278,"no","yes","no",NA,NA,NA
"33WA20150921","WS15264","Niskin","57290101","57.2b",1,1,2015,9,24,"15:05:00",267.6285,25.3519,-81.4875,-999,1.5,"1.5",29.59,29.83,29.6,35.984,36.002,-999,9,-999,-999,1927.7,2,2174.3,2,8.0464,7.9714,2,13.1,0.04,-999,0.03,2,-81.4875,25.3519,8.3666181564331,2945,"no","yes","no",NA,NA,NA
"33WA20150921","WS15264","Niskin","57390101","57.3b",1,1,2015,9,24,"16:24:00",267.6833,25.3516,-81.6556,-999,1.5,"1.5",29.89,30.12,29.898,36.183,36.203,-999,9,-999,-999,1985.6,2,-999,5,8.1145,8.0388,2,2.9,0.08,-999,0.06,2,-81.6556,25.3516,11.2790632247925,4575,"no","yes","no",NA,NA,NA
"33GG20080512","GU0802 Leg2","Niskin","1450101","145",1,1,2008,5,14,"17:18:00",135.7208,24.4979,-83.5023,-999,2,"2",-999,-999,26.35,-999,36.42,-999,9,-999,-999,-999,9,2378.9,2,-999,-999,9,-999,-999,-999,-999,9,-83.5023,24.4979,325.141510009766,2855,"yes","no","no",NA,NA,NA
"33NF20100701","NF10-13","Niskin","20106","2",1,6,2010,7,1,"21:39",182.9021,24.3228,-82.001,-999,3,"-999",-999,-999,29.59,-999,36.316,-999,9,-999,-999,2054.3,2,2395.8,2,-999,-999,9,2.7,0,-999,0,3,-82.001,24.3228,225.00373840332,2606,"yes","no","no","SV","Stiltsville",NA
"33NF20100701","NF10-13","Niskin","40116","4",1,16,2010,7,2,"3:37",183.1507,24.124,-82.0003,-999,3,"-999",-999,-999,29.42,-999,35.975,-999,9,-999,-999,2051.4,2,2386.4,2,-999,-999,9,-999,-999,-999,-999,9,-82.0003,24.124,770.275329589844,7791,"yes","no","no","JP","John Pennekamp",NA
"33NF20100701","NF10-13","Niskin","60101","6",1,1,2010,7,2,"11:33",183.4813,23.9228,-81.9917,-999,1457,"-999",-999,-999,4.17,-999,34.965,-999,9,-999,-999,2026.8,4,2376.4,4,-999,-999,9,-999,-999,-999,-999,9,-81.9917,23.9228,1462.2255859375,8923,"yes","no","no","JP","John Pennekamp",NA
"33NF20100701","NF10-13","Niskin","120113","12",1,13,2010,7,4,"7:57",185.3313,23.2192,-83.252,-999,2,"-999",-999,-999,29.13,-999,36.322,-999,9,-999,-999,2027.1,2,2371.9,2,-999,-999,9,-999,-999,-999,-999,9,-83.252,23.2192,2101.3916015625,11750,"yes","no","no","MM64","Conch Key",NA
