"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","X.1","Y.1","bathymetry","resolution","line_id","line_name","alt_station_id"
"33WA20180108","WS18008","Niskin","560101","56",1,1,2018,1,10,"20:13:00",10.8424,25.3518,-81.2292,3.1,1.5,"-999",19.24,19.68,17.13,29.531,32.44,-999,9,7.88,246.3,2246.5,2,2472.3,2,7.9857,7.9112,2,12.09,0,1.21,0.034,2,-81.2292,25.3518,-81.2292,25.3518,3.02198529243469,2337,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","550101","55",1,1,2018,1,10,"20:47:00",10.866,25.3495,-81.1945,2,1.5,"-999",19.2,19.69,17.19,29.723,32.47,-999,9,7.06,220.6,2353.2,2,2584.2,2,7.9709,7.8966,2,17.6,0.33,0.96,0.049,2,-81.1945,25.3495,-81.1945,25.3495,2.37362217903137,1572,"SR","Shark River",NA
"33WA20180108","WS18008","Niskin","540101","54",1,1,2018,1,10,"22:00:00",10.9167,25.3407,-81.1563,4.2,1.5,"-999",17.75,18.13,17.23,29.872,30.93,-999,9,7.46,233.1,2433.5,2,2651.8,2,7.9363,7.8624,2,18.58,0.009,1.23,0.027,2,-81.1563,25.3407,-81.1563,25.3407,2.24022269248962,945,"SR","Shark River",NA
"33WA20180430","WS18120","Niskin","540101","54",1,1,2018,5,2,"21:54:00",122.9125,25.3409,-81.1543,2,1.5,"-999",26.24,26.54,26.69,32.779,32.773,-999,9,7.14,223.1,3447,2,3733.8,2,7.918,7.8438,2,42.99,0.054,0.3,0.098,2,-81.1543,25.3409,-81.1543,25.3409,2.46039080619812,811,"SR","Shark River",NA
"33WA20180430","WS18120","Niskin","550101","55",1,1,2018,5,2,"22:44:00",122.9472,25.3512,-81.1949,1.9,1.5,"-999",26.26,26.56,26.72,34.441,34.468,-999,9,6.62,206.9,2505.2,2,2783.2,2,7.9979,7.923,2,36.77,0.032,0.23,0.095,2,-81.1949,25.3512,-81.1949,25.3512,2.37362217903137,1572,"SR","Shark River",NA
"33WA20180430","WS18120","Niskin","560101","56",1,1,2018,5,2,"23:11:00",122.966,25.3495,-81.2247,2.4,1.5,"-999",26.35,26.66,26.81,35.843,35.84,-999,9,6.25,195.3,2274.8,2,2582.5,2,8.0603,7.9848,2,42.77,0.063,1.21,0.16,2,-81.2247,25.3495,-81.2247,25.3495,2.87843060493469,1993,"SR","Shark River",NA
"33WA20180430","WS18120","Niskin","570101","57",1,1,2018,5,2,"23:54:00",122.9958,25.3511,-81.2636,3,1.5,"-999",26.47,26.77,26.92,36.345,36.343,-999,9,6.06,189.4,2224.4,2,2540.3,2,8.0775,8.0019,2,35.65,0,0.22,0.122,2,-81.2636,25.3511,-81.2636,25.3511,3.75466084480286,2255,"SR","Shark River",NA
"33WA20180430","WS18120","Niskin","5710101","57.1",1,1,2018,5,3,"0:36:00",123.025,25.3524,-81.3424,3.9,1.5,"-999",26.49,26.78,26.95,36.349,36.351,-999,9,5.77,180.3,2068.8,2,2309.9,2,7.9888,7.9143,2,28.51,0.03,0.37,0.072,2,-81.3424,25.3524,-81.3424,25.3524,5.5090446472168,2278,"SR","Shark River",NA
"33WA20180430","WS18120","Niskin","5720101","57.2",1,1,2018,5,3,"1:41:00",123.0701,25.3515,-81.4909,6.5,1.5,"-999",26.66,26.97,27.14,36.463,36.464,-999,9,5.17,161.6,1994.6,2,2316.3,2,8.1232,8.0475,2,2.14,0.032,0.56,0.059,2,-81.4909,25.3515,-81.4909,25.3515,8.36661815643311,2945,"SR","Shark River",NA
"33WA20180430","WS18120","Flow-through","5730000","57.3",0,0,2018,5,3,"2:58:00",123.1236,25.3442,-81.654,9.6,1.5,"-999",26.68,26.96,27.17,36.264,36.265,-999,9,-999,-999,2069,2,2332.3,2,8.024,7.9491,2,0.33,0.037,0.44,0.061,2,-81.654,25.3442,-81.654,25.3442,11.2790632247925,4575,"SR","Shark River",NA
